split,image,sha1,width_height,label,visible_count,visible_indices,stem_tokens,pitch_end,camera_angle,venue,review_notes
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_0_10_png.rf.538fc395bb51cde4fe63bad22ccee656.jpg,f9ab5b4df2654b3a5ed14cd03a8fc3075aadf9ce,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_0_10_png.rf.538fc395bb51cde4fe63bad22ccee656.txt,9,"0,9,10,13,14,15,16,30,31",08|fd|33|0|10|png|rf|538|fc|395|bb|51|cde|4|fe|63|bad|22|ccee|656,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_0_6_png.rf.8f528dab18122b8e214905d5f4d2089e.jpg,73a4e1e86d83b3d625bfc32ce7af7aefa76c641a,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_0_6_png.rf.8f528dab18122b8e214905d5f4d2089e.txt,8,"13,14,15,16,17,18,30,31",08|fd|33|0|6|png|rf|8|f|528|dab|18122|b|8|e|214905|d|5|f|4|d|2089|e,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_0_9_png.rf.a78dbe0ab0cf8255d6fcd442a3f0c43f.jpg,d897039c5cb62e9babd974a2f1ecfe708e8451cd,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_0_9_png.rf.a78dbe0ab0cf8255d6fcd442a3f0c43f.txt,6,"13,14,15,16,30,31",08|fd|33|0|9|png|rf|a|78|dbe|0|ab|0|cf|8255|d|6|fcd|442|a|3|f|0|c|43|f,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_10_png.rf.bfec4c97a3a7a1b9596e3c8b5e36d6df.jpg,a2eae608c2907e46b693fb89454e646991e581e8,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_10_png.rf.bfec4c97a3a7a1b9596e3c8b5e36d6df.txt,16,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16,30",08|fd|33|2|10|png|rf|bfec|4|c|97|a|3|a|7|a|1|b|9596|e|3|c|8|b|5|e|36|d|6|df,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_11_png.rf.f585a79b126cbf7317076bcd7d786981.jpg,cce5900da0df156048c9a8431baa1e35bf6b80c1,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_11_png.rf.f585a79b126cbf7317076bcd7d786981.txt,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,30",08|fd|33|2|11|png|rf|f|585|a|79|b|126|cbf|7317076|bcd|7|d|786981,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_12_png.rf.e51c412a6cec46bae8e287b8476854c0.jpg,f35dda11e460b877350e5376ecc26e27d865a606,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_12_png.rf.e51c412a6cec46bae8e287b8476854c0.txt,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,30",08|fd|33|2|12|png|rf|e|51|c|412|a|6|cec|46|bae|8|e|287|b|8476854|c|0,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_13_png.rf.595dda65445c781e8cc735a55df36c08.jpg,ccf7cf125f4f9da4bc3001e9e6df9392cf666f20,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_13_png.rf.595dda65445c781e8cc735a55df36c08.txt,17,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,30",08|fd|33|2|13|png|rf|595|dda|65445|c|781|e|8|cc|735|a|55|df|36|c|08,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_1_png.rf.90b930eac07c5112063578f6223339ee.jpg,949b97087aa05aac57be3d2add619b3bda15d8a4,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_1_png.rf.90b930eac07c5112063578f6223339ee.txt,12,"17,18,19,20,21,22,23,24,25,26,27,31",08|fd|33|2|1|png|rf|90|b|930|eac|07|c|5112063578|f|6223339|ee,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_2_png.rf.fbb47bd6ad709d12db8006ae0c8a0830.jpg,84d65f1a82998051ba988608209f6b1303359ac3,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_2_png.rf.fbb47bd6ad709d12db8006ae0c8a0830.txt,11,"17,18,19,20,21,22,23,24,25,26,31",08|fd|33|2|2|png|rf|fbb|47|bd|6|ad|709|d|12|db|8006|ae|0|c|8|a|0830,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_7_png.rf.8b94db9338f45ed7a10076e167d81436.jpg,f843f5fc5dadf3aceb97743b369561894287b930,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_7_png.rf.8b94db9338f45ed7a10076e167d81436.txt,18,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,30,31",08|fd|33|2|7|png|rf|8|b|94|db|9338|f|45|ed|7|a|10076|e|167|d|81436,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_2_8_png.rf.1bdf41febe5761d7f51eeb0ff04d11c3.jpg,b30c3ca8f7c5d7d79299d2e7ca1ee4fbf3ed9e6b,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_2_8_png.rf.1bdf41febe5761d7f51eeb0ff04d11c3.txt,18,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,30,31",08|fd|33|2|8|png|rf|1|bdf|41|febe|5761|d|7|f|51|eeb|0|ff|04|d|11|c|3,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_3_10_png.rf.b81fac83a9b0fceb83d81da5f7c24d25.jpg,1032cee2d5cbe2a0c706e6b60f016728f8fb06b9,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_3_10_png.rf.b81fac83a9b0fceb83d81da5f7c24d25.txt,9,"9,10,13,14,15,16,17,30,31",08|fd|33|3|10|png|rf|b|81|fac|83|a|9|b|0|fceb|83|d|81|da|5|f|7|c|24|d|25,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_3_9_png.rf.c5bc1a7d0f471c946c9a0f85bb32e904.jpg,f10f9dd9b220f5ec49900be291f8e4e94ba4ab74,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_3_9_png.rf.c5bc1a7d0f471c946c9a0f85bb32e904.txt,10,"0,9,10,11,13,14,15,16,30,31",08|fd|33|3|9|png|rf|c|5|bc|1|a|7|d|0|f|471|c|946|c|9|a|0|f|85|bb|32|e|904,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_10_png.rf.228f5e884f5dbc5ab11602248d7bf431.jpg,6c15d3ae498944a35990e9bd32c936f7f8668c94,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_10_png.rf.228f5e884f5dbc5ab11602248d7bf431.txt,13,"13,14,15,16,17,18,19,21,22,24,25,30,31",08|fd|33|4|10|png|rf|228|f|5|e|884|f|5|dbc|5|ab|11602248|d|7|bf|431,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_12_png.rf.9c106b570ed4a54ce66b48981ff96710.jpg,5b0f4a10b5193c2521820d3c3bdc320f37af8756,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_12_png.rf.9c106b570ed4a54ce66b48981ff96710.txt,17,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31",08|fd|33|4|12|png|rf|9|c|106|b|570|ed|4|a|54|ce|66|b|48981|ff|96710,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_13_png.rf.52604d928f719daaebab214b58b3aee9.jpg,b1bece0cb869543ef234929f6cf775d30d5edc0e,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_13_png.rf.52604d928f719daaebab214b58b3aee9.txt,17,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31",08|fd|33|4|13|png|rf|52604|d|928|f|719|daaebab|214|b|58|b|3|aee|9,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_14_png.rf.77a35d776043d634dd321ed5610721ae.jpg,7a39bb58d7f33a938eb9faff0affe405371d2584,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_14_png.rf.77a35d776043d634dd321ed5610721ae.txt,17,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31",08|fd|33|4|14|png|rf|77|a|35|d|776043|d|634|dd|321|ed|5610721|ae,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_15_png.rf.b667a3aa01f4d127d30b840be9b22c6a.jpg,680ee364cd3b5de179f85b60436c6eafc0dc515a,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_15_png.rf.b667a3aa01f4d127d30b840be9b22c6a.txt,17,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31",08|fd|33|4|15|png|rf|b|667|a|3|aa|01|f|4|d|127|d|30|b|840|be|9|b|22|c|6|a,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_1_png.rf.f7efa40b074af14291a45d9cbed51705.jpg,42447ffc0b5d2e6339898ff5fc6f261111d7e8d1,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_1_png.rf.f7efa40b074af14291a45d9cbed51705.txt,13,"13,14,15,16,17,18,19,21,22,24,25,30,31",08|fd|33|4|1|png|rf|f|7|efa|40|b|074|af|14291|a|45|d|9|cbed|51705,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_2_png.rf.e3d2e937ae29548484189d720781a996.jpg,afd5fe3e7dfabd811f4d9550e6940502ebb4d2d3,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_2_png.rf.e3d2e937ae29548484189d720781a996.txt,9,"13,14,15,16,17,18,24,30,31",08|fd|33|4|2|png|rf|e|3|d|2|e|937|ae|29548484189|d|720781|a|996,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_8_png.rf.67536f10700c81230f4333190911b2b1.jpg,22e590ef390318d599bfe9821c9f0c46d89ae5d1,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_8_png.rf.67536f10700c81230f4333190911b2b1.txt,8,"9,13,14,15,16,17,30,31",08|fd|33|4|8|png|rf|67536|f|10700|c|81230|f|4333190911|b|2|b|1,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_4_9_png.rf.f25b2c6e482f3e67d9c0a0afd200dc0f.jpg,30c9be8ee32e8eb86f99eff615a51b1eb03f935b,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_4_9_png.rf.f25b2c6e482f3e67d9c0a0afd200dc0f.txt,8,"13,14,15,16,17,18,30,31",08|fd|33|4|9|png|rf|f|25|b|2|c|6|e|482|f|3|e|67|d|9|c|0|a|0|afd|200|dc|0|f,human_metadata_required,human_metadata_required,human_metadata_required,
train,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\images\08fd33_6_2_png.rf.60819f3a208ddd807112ac1a3ae9d504.jpg,99e2591630f55dfc930d5cb6a4ead58c6b369de4,960x960,D:\SportsStrategyCoachAI\datasets\processed\field_datasets\2\train\labels\08fd33_6_2_png.rf.60819f3a208ddd807112ac1a3ae9d504.txt,7,"13,14,15,16,17,30,31",08|fd|33|6|2|png|rf|60819|f|3|a|208|ddd|807112|ac|1|a|3|ae|9|d|504,human_metadata_required,human_metadata_required,human_metadata_required,
